,OPERATION NAME,ZIPCODE,VENDOR TYPE,LATITUDE,LONGITUDE
4090,CASTILLO DELI FOOD CORP.,10701,DELICATESSEN,40.92837082,-73.90252785
4091,RIHANNA DELI GROCERY CORP,10701,CONVENIENCE STORE,40.93485141,-73.89658924
4092,6 TITO'S DELI & GROCERY CORP,10701,DELICATESSEN,40.91993216,-73.89652729
4093,RIVERDALE GROCERY CORP.,10701,GROCERY SUPERMARKET,40.91513336,-73.90199299
4094,VRS CORP,10701,STATIONERY STORE,40.93276901,-73.89833596
4095,WARBURTON CONVENIENCE,10701,CONVENIENCE STORE,40.93986798,-73.89785903
4096,BUENA VISTA DELI,10701,DELICATESSEN,40.92961599,-73.90340098
4097,"GH BROADWAY DELI, INC.",10701,DELICATESSEN,40.92477901,-73.89523097
4098,N.W. GROCERY CORP.,10701,GROCERY SUPERMARKET,40.93929982,-73.89593124
4099,"PALMER 468, INC.",10701,DELICATESSEN,40.94443599,-73.85878
4100,RIVERSIDE STATIONERY INC.,10703,STATIONERY STORE,40.96049967,-73.88511839
4101,CHESTNUT MARTS,10703,CONVENIENCE/GAS,40.96413005,-73.87238261
4102,WALGREEN EASTERN CO. INC.,10703,PHARMACY,40.96532298,-73.87170599
4103,NEPPERHAN GROUMET DELI INC.,10703,DELICATESSEN,40.94431732,-73.88342787
4104,D DELI CITY INC.,10703,DELICATESSEN,40.908758,-73.87848502
4105,LOTTO PLUS CORP.,10703,CONVENIENCE STORE,40.947026,-73.88623903
4106,"RANI ENTERPRISES OF NY, INC.",10703,STATIONERY STORE,40.9536368,-73.877572
4107,VIDEL CORP,10703,CONVENIENCE/GAS,40.95476799,-73.86548896
4108,AGUILAR DELI & GROCERY CORP,10703,GROCERY SUPERMARKET,40.92929999,-73.89408399
4109,EAE PRODUCE LLC,10703,DELICATESSEN,40.96668508,-73.87276489
4110,"LAKE AVENUE VARIETY DISCOUNT, INC.",10703,GROCERY SUPERMARKET,40.94683147,-73.88654206
4111,DOUGLAS DISCOUNT INC.,10703,DISCOUNT STORE,40.959782,-73.88527704
4112,VINEYARD DELI GROCERY CORP.,10703,GROCERY SUPERMARKET,40.94070001,-73.88795497
4113,CHESTNUT MARTS/GUNKS HOLDING CORP.,10703,CONVENIENCE/GAS,40.95623468,-73.87496426
4114,"M&M SERVICE STATION, INC.",10703,CONVENIENCE/GAS,40.96661482,-73.87228913
4115,KIMBALL TOBACCO & VAPE SHOP CORP.,10704,OTHER,40.91307301,-73.85795002
4116,YONKERS CENTRAL ENERGY SERVICE INC.,10704,CONVENIENCE/GAS,40.92714654,-73.85791985
4117,AAMER DELI,10704,DELICATESSEN,40.93797698,-73.89366104
4118,VIBRANT STAR INC.,10704,DELICATESSEN,40.92317996,-73.8649185
4119,M & H #2 DELI & GROCERY CORP.,10704,DELICATESSEN,40.94373403,-73.88724145
4120,STOP & SHOP SUPERMARKET CO.,10704,GROCERY SUPERMARKET,40.924713,-73.85318198
4121,ASHBURTON DELI MEAT MARKET CORP.,10704,GROCERY SUPERMARKET,40.93956393,-73.8923751
4122,YONKERS MIDLAND MINI-MARKET INC.,10704,CONVENIENCE STORE,40.93537499,-73.86281597
4123,NEELA ASSOCIATES INC.,10704,CONVENIENCE/GAS,40.91382846,-73.85783659
4124,YONKERS CANDY VIP CORP.,10704,CONVENIENCE STORE,40.91410125,-73.8583527
4125,ONE BROADWAY AUTO & MART CORP.,10704,CONVENIENCE/GAS,40.92069008,-73.85381252
4126,785 CENTRAL PARK AVE INC.,10704,GROCERY SUPERMARKET,40.9291619,-73.85745499
4127,TESCO CONVENIENCE STORE 1 INC.,10704,CONVENIENCE STORE,40.9040258,-73.8677666
4128,DARLENE'S MINI MARKET CORP,10704,DELICATESSEN,40.92096101,-73.853891
4129,YONKERS GROCERY AND CONVENIENCE STORE,10704,GROCERY SUPERMARKET,40.92225601,-73.86309098
4130,JENLIKE DELI GROCERY CORP.,10704,DELICATESSEN,40.93253499,-73.88790401
4131,GARDEN DELI GROCERY CORP.,10704,DELICATESSEN,40.9149196,-73.85182268
4132,TUCKAHOE GAS & MART INC.,10704,CONVENIENCE/GAS,40.95038501,-73.839423
4133,DELGADO'S BROTHERS CORP.,10704,CONVENIENCE STORE,40.93539213,-73.88669921
4134,ALOMARI GOURMET DELI CORP.,10704,DELICATESSEN,40.90313509,-73.8660564
4135,62 WOODLAWN FOOD CORP.,10704,DELICATESSEN,40.90490664,-73.86354264
4136,AMBLE SMOKE SHOP INC.,10704,OTHER,40.92380201,-73.85853097
4137,DUNWOODIE GAS STATION INC.,10704,CONVENIENCE/GAS,40.93332483,-73.87303931
4138,565 RETAIL INC.,10704,CONVENIENCE STORE,40.91331001,-73.89705303
4139,"DELTA FOOD MART, INC.",10704,CONVENIENCE/GAS,40.90488301,-73.85901101
4140,"JB AUTO CENTER, LTD.",10704,CONVENIENCE/GAS,40.91379387,-73.8577501
4141,CHESTNUT MARTS INC,10704,CONVENIENCE/GAS,40.92882298,-73.84828502
4142,CENTER RACEWAY RESTAURANT CORP.,10704,RESTAURANT/ATUPA,40.920795,-73.86166698
4143,"PARKWAY MARKET & DELI, INC.",10704,DELICATESSEN,40.906816,-73.85775397
4144,JAVIER ESPINOSA II,10704,TOBACCO RETAIL,40.92310982,-73.85955985
4145,EMPIRE CITGO INC.,10704,CONVENIENCE/GAS,40.92123698,-73.865194
4146,G & A FOOD CORP,10704,DELICATESSEN,40.92620301,-73.85903104
4147,"COCO FARMS OF YONKERS, INC./KAL MAANI",10704,CONVENIENCE/GAS,40.936189,-73.85659098
4148,YONKERS FOOD & GAS INC.,10704,CONVENIENCE/GAS,40.92626086,-73.86867067
4149,967 FOOD SERVICE CORP.,10704,DELICATESSEN,40.90295299,-73.86609497
4150,HOOKAH PRINCE X INC.,10704,OTHER,40.92242755,-73.86358036
4151,ACME MARKETS INC.,10704,GROCERY SUPERMARKET,40.90876505,-73.87732039
4152,"J.T. CENTER GAS, INC.",10704,CONVENIENCE/GAS,40.92452714,-73.85385337
4153,MAGDY WANIS,10704,DELICATESSEN,40.9142113,-73.85072898
4154,CITY LIMITS AUTO CENTER,10704,CONVENIENCE/GAS,40.90616497,-73.85793113
4155,GLEN ROAD GROCERY & DELI INC.,10704,DELICATESSEN,40.90811822,-73.85823133
4156,144 N & J DELI GROCERY CORP.,10705,DELICATESSEN,40.94661701,-73.88619503
4157,SMOKERS SHOP 1 CORP.,10705,TOBACCO RETAIL,40.91233301,-73.890073
4158,THE BROTHERS GROCERY & DELI CORP.,10705,DELICATESSEN,40.91592,-73.89078898
4159,HERNANADEZ VASQUEZ GROCERY CORP.,10705,GROCERY SUPERMARKET,40.92694713,-73.90041715
4160,FAMILY DOLLAR STORES OF NY INC.,10705,DISCOUNT STORE,40.91476545,-73.88960001
4161,MANZUETA GROCERY INC.,10705,GROCERY SUPERMARKET,40.91825298,-73.90115999
4162,MENA DELI GROCERY CORP,10705,DELICATESSEN,40.91647199,-73.89714799
4163,CENTRAL PARK FOOD CORP.,10705,CONVENIENCE/GAS,40.91125004,-73.88538654
4164,ANGEL M. HERNANDEZ,10705,TOBACCO RETAIL,40.924471,-73.89560159
4165,LUCKY 7 DELI & MINI MART LLC,10705,DELICATESSEN,40.9140578,-73.85336522
4166,MCLEAN DELI 1 CORP.,10705,DELICATESSEN,40.91569902,-73.89050299
4167,A&H CANDY & GROCERY CORP.,10705,GROCERY SUPERMARKET,40.92163998,-73.89624803
4168,AFFORDABLE AUTO CARE INC.,10705,CONVENIENCE/GAS,40.91248598,-73.89710902
4169,KING SMOKE SHOP 1 INC.,10705,OTHER,40.90885907,-73.87830997
4170,671 FOOD MART LTD.,10705,GROCERY SUPERMARKET,40.92486702,-73.86724396
4171,JM DELI & MEAT MARKET CORP.,10705,GROCERY SUPERMARKET,40.91689962,-73.90163202
4172,MARIO DELI GROCERY CORP.,10705,DELICATESSEN,40.915316,-73.897149
4173,D & T DELI INC.,10705,DELICATESSEN,40.911655,-73.89056602
4174,457 A & S GOURMET DELI INC.,10705,DELICATESSEN,40.91776636,-73.8966973
4175,"HALA INTERNATIONAL FOOD, INC.",10705,GROCERY SUPERMARKET,40.92208685,-73.89582797
4176,CARYL MEAT FRUITS & VEGETABLES CORP.,10705,GROCERY SUPERMARKET,40.91168307,-73.89601311
4177,LUDLOW'S DELI GROCERY,10705,DELICATESSEN,40.92378971,-73.90060112
4178,S & M SERVICE STATION CORP,10705,GAS STATION,40.91044892,-73.88938194
4179,R&V DELI GRILL CORP.,10705,DELICATESSEN,40.91593373,-73.9018533
4180,454 C & C DELI GROCERY INC.,10705,DELICATESSEN,40.91788502,-73.89633503
4181,208 SARATOGA FOOD CORP.,10705,GROCERY SUPERMARKET,40.91206795,-73.89242662
4182,GABE'S DELI & GROCERY INC.,10705,DELICATESSEN,40.92008401,-73.89832196
4183,380 RIVERDALE AVE INC.,10705,CONVENIENCE/GAS,40.91916699,-73.90097098
4184,IRISH MINI MARKET INC.,10705,CONVENIENCE STORE,40.90656005,-73.87143137
4185,SMOKE SHOP 2 CORP.,10705,TOBACCO RETAIL,40.91077201,-73.88588297
4186,352 RIVERDALE FOOD CENTER CORP,10705,DELICATESSEN,40.92039301,-73.90092002
4187,D ZONE GROCERY & DELI,10705,DELICATESSEN,40.9278624,-73.89937665
4188,YAHIR & SISTERS GROCERY,10705,DELICATESSEN,40.91534002,-73.89018003
4189,JUAN SUPERMARKET,10705,GROCERY SUPERMARKET,40.93138502,-73.9005371
4190,ARIEL GROCERY YONKERS INC.,10705,GROCERY SUPERMARKET,40.91182918,-73.89658446
4191,TOP NOTCH RIVERDALE,10705,CONVENIENCE/GAS,40.91330994,-73.90231814
4192,ANELIS DELI CORP.,10705,DELICATESSEN,40.915769,-73.89261699
