,ZIPCODE,geometry,VENDOR TYPE
165,10038,POINT (984300.1745725282 198440.49112854723),GROCERY SUPERMARKET
166,10038,POINT (984773.1443303335 198695.51771584083),GROCERY SUPERMARKET
167,10038,POINT (982526.6317497065 197263.7623993956),GROCERY SUPERMARKET
168,10038,POINT (983030.3781122899 196873.9015878036),GROCERY SUPERMARKET
169,10038,POINT (982814.95830418 196961.34310727022),GROCERY SUPERMARKET
170,10038,POINT (981727.3653632189 197722.8919062378),CONVENIENCE STORE
171,10038,POINT (982766.8315688838 198623.99561399885),STAND
172,10038,POINT (984300.1745725282 198440.49112854723),CONVENIENCE STORE
173,10038,POINT (981743.1789448584 197609.94609225515),GROCERY SUPERMARKET
174,10038,POINT (982688.7786601245 196717.24719512896),GROCERY SUPERMARKET
175,10038,POINT (981971.9038230354 197759.2992976429),CONVENIENCE STORE
176,10038,POINT (982277.137749343 197493.30354336303),STATIONERY STORE
177,10038,POINT (982682.157511365 197107.09319151632),CONVENIENCE STORE
178,10038,POINT (981921.2089123752 198112.70295442344),GROCERY SUPERMARKET
179,10038,POINT (982763.9149345777 196786.47174997436),GROCERY SUPERMARKET
180,10038,POINT (984663.9060728885 198691.5152615093),GROCERY SUPERMARKET
181,10038,POINT (981864.6119105063 197744.7276476633),GROCERY SUPERMARKET
182,10121,POINT (986411.1696795425 212507.40956377258),STAND
183,10121,POINT (986426.7066545313 212398.11456936775),STAND
184,10019,POINT (989288.7476887295 218457.40316041326),STAND
185,10019,POINT (987821.4366280155 218316.14702227747),GROCERY SUPERMARKET
186,10019,POINT (990897.4169781703 216267.19469304723),GROCERY SUPERMARKET
187,10019,POINT (990099.9622570397 216570.3193521937),STAND
188,10019,POINT (988552.270828637 216449.78254208577),GROCERY SUPERMARKET
189,10019,POINT (987538.3881107012 217954.3093699419),GROCERY SUPERMARKET
190,10019,POINT (987460.8560621113 217812.20547389655),CONVENIENCE STORE
191,10019,POINT (986361.9812918516 217465.9668157059),OTHER
192,10019,POINT (989279.0229968514 217094.7786449979),RESTAURANT/ATUPA
193,10019,POINT (989008.9369741948 218610.37276468953),GROCERY SUPERMARKET
194,10019,POINT (988663.035203943 216682.97579352505),GROCERY SUPERMARKET
195,10019,POINT (986547.0648299374 219888.79593308762),GROCERY SUPERMARKET
196,10019,POINT (989801.6231556498 216501.03477655695),STAND
197,10019,POINT (988485.5757180882 217684.8661980551),GROCERY SUPERMARKET
198,10019,POINT (987713.9562552527 218406.10604290507),GROCERY SUPERMARKET
199,10019,POINT (989622.1245346138 217685.07589764558),BAR/LOUNGE
200,10019,POINT (988341.2450445559 217553.66553739455),GROCERY SUPERMARKET
201,10019,POINT (989449.0017349472 217692.32156840622),RESTAURANT/ATUPA
202,10019,POINT (987158.7300474411 217050.71665038523),GROCERY SUPERMARKET
203,10019,POINT (989478.6668780431 217517.45176347843),GROCERY SUPERMARKET
204,10019,POINT (988874.4336664075 216420.67804999126),GROCERY SUPERMARKET
205,10019,POINT (987119.3785799239 217196.43929050086),GROCERY SUPERMARKET
206,10019,POINT (989880.0236462519 217761.64756910453),BAR/LOUNGE
207,10019,POINT (989106.0915881364 217633.96890498395),CONVENIENCE STORE
208,10019,POINT (987114.1946040186 218821.36794166607),DELICATESSEN
209,10019,POINT (988344.0148711139 219302.47281251452),GROCERY SUPERMARKET
210,10019,POINT (988596.258554 216661.0983072855),GROCERY SUPERMARKET
211,10019,POINT (988552.270828637 216449.78254208577),STAND
212,10019,POINT (989349.1454775861 217394.22428805096),GROCERY SUPERMARKET
213,10019,POINT (986400.3122133611 219345.93795649166),CONVENIENCE STORE
214,10019,POINT (986976.6556269045 218690.4337232608),GROCERY SUPERMARKET
215,10019,POINT (987790.9652464385 218409.7586677044),DELICATESSEN
216,10019,POINT (987134.6059053985 219579.18741073777),STAND
217,10019,POINT (990574.2291933201 217743.61794788207),GROCERY SUPERMARKET
218,10019,POINT (989264.0618223754 217244.1677035376),STAND
219,10019,POINT (985640.8759929949 218016.05756160102),GROCERY SUPERMARKET
220,10019,POINT (988198.6061153085 219145.77341484372),GROCERY SUPERMARKET
221,10019,POINT (987570.570575038 219641.17434573072),TOBACCO RETAIL
222,10019,POINT (987827.8031459323 218475.34439059923),CONVENIENCE STORE
223,10019,POINT (990925.5959215988 217259.1343016412),BAR/LOUNGE
224,10019,POINT (988532.3253384716 217892.53327612247),CONVENIENCE STORE
225,10019,POINT (987645.0593734443 217925.1752336243),GROCERY SUPERMARKET
226,10019,POINT (988389.4330279698 217641.1190849076),GROCERY SUPERMARKET
227,10019,POINT (989930.7870429651 216620.0801759496),CONVENIENCE STORE
228,10019,POINT (986678.2632378679 218038.00428103763),GROCERY SUPERMARKET
229,10019,POINT (990869.7095730868 216993.14832553343),GROCERY SUPERMARKET
230,10019,POINT (991106.5610992956 218024.28473512907),GROCERY SUPERMARKET
231,10019,POINT (987447.6200816117 219407.9845555798),CONVENIENCE STORE
232,10019,POINT (987424.8872562626 219608.3725036154),GROCERY SUPERMARKET
233,10019,POINT (990315.9056002285 217142.3800541901),STAND
234,10019,POINT (988284.4774596281 219069.27429363143),GROCERY SUPERMARKET
235,10019,POINT (988771.1443860888 216325.9601173601),STAND
236,10019,POINT (987819.2091623746 216602.67468192472),GROCERY SUPERMARKET
237,10019,POINT (986707.8854994259 218314.89563835273),GROCERY SUPERMARKET
238,10019,POINT (987858.2543247411 216675.5441048167),GROCERY SUPERMARKET
239,10019,POINT (990746.6318003676 218012.3722022044),GROCERY SUPERMARKET
240,10019,POINT (988787.6592606421 216919.82095412712),CONVENIENCE STORE
241,10019,POINT (990574.2291933201 217743.61794788207),OTHER
242,10019,POINT (988610.1747761829 217910.7783632604),CONVENIENCE STORE
243,10019,POINT (988901.1822246088 217153.01548929722),CONVENIENCE STORE
244,10019,POINT (990552.9325056691 217583.28768090083),CONVENIENCE STORE
245,10019,POINT (988344.0148711139 219302.47281251452),STAND
246,10019,POINT (991081.9700537382 216796.46558883434),CONVENIENCE STORE
247,10019,POINT (987956.2806320403 218708.53686171916),DELICATESSEN
248,10019,POINT (986891.3650190198 219951.51050822472),STAND
249,10019,POINT (985836.1305965284 218599.0100851922),GROCERY SUPERMARKET
250,10019,POINT (989250.0361286899 218151.35829193477),GROCERY SUPERMARKET
251,10019,POINT (990150.5675597832 217019.15615190886),STAND
252,10019,POINT (988344.0148711139 219302.47281251452),STAND
253,10019,POINT (988578.8035741699 216624.66336275893),GROCERY SUPERMARKET
