ZIPCODE,NORMALIZED EDP CALLS,NORMALIZED_TREE_COUNT,LIQUOR_SHOPS_NORMALIZED,NORMALIZED_SMOKE,KW_POTENTIAL,NORMALIZED_RESTAURANT_COUNT,NORMALIZED_SIDEWALK_WIDTH,SIDEWALK CONDITION COMPLAINTS,STREET LIGHT CONDITION COMPLAINTS,NORMALIZED_HEIGHT,POPULATION
10016,0.661449670297285,-0.7749179874239038,-0.1405395673701779,0.09967598752325468,-0.8769638855185149,0.07632854007861438,0.49868654507871824,-0.30349248198412077,-0.47180937878252716,0.6700910907504015,109212.0
10017,1.029429338960573,-0.5307421614350333,0.5853228626658928,1.38796858088152,-1.0081707429888653,0.6971651568046926,0.503821528902042,-0.3464448944042709,-0.4175244035772934,2.0064780846033505,31836.0
10018,2.3887239204056314,-0.08252401953296326,5.264648314298026,2.7783970024568325,-0.9456565197540027,3.3689017965874215,-0.0038581449578930426,2.3378376051106566,-0.4941222813083747,1.2796801880184872,11006.0
10019,1.0427466129047978,-0.6902588578304482,0.16265957883472085,0.9935900673415688,-0.5771697508449362,0.4767591400369406,0.7602335848753041,-0.41815195604227234,-0.4941222813083747,0.9320341994730588,83932.0
10021,-0.3592186941926342,-0.659663753789951,-0.09468687367925899,-0.24562396851937598,-1.015086155078751,-0.11841324304178645,1.1297725676303796,-0.2761048163780073,-0.4761581594205339,0.5313738125521329,90598.0
10022,0.38485486439547956,-0.5843686482054249,-0.02013760228496617,0.8387662130543728,-1.0039691479940147,0.37914607646129217,0.5779690487490988,0.02866302139825759,-0.4941222813083747,1.1194343783999046,66270.0
10023,0.17525959464355284,-0.7529920863175402,-0.5773352983564567,-0.6212969816670133,-0.8482208430373467,-0.12762053824167055,0.742386398482849,-0.5486045591643639,-0.48766007456591615,0.6043798305046004,125600.0
10024,-0.031505016437270765,-0.4882490249680661,-0.4928026415902224,-0.41673611222360324,-0.8602401598668792,-0.11858879447716243,1.1244551073622673,-0.23497946195708072,-0.4871723608495042,0.349861587959723,117042.0
10025,0.2035662355966387,-0.7209630908916851,-0.43479966270012466,-0.5315537315624389,-0.5837476577631042,-0.16839890220042633,1.037307062999568,-0.5567435729688757,-0.4856685768905672,0.390558307589131,192108.0
10026,0.7923239616934202,-0.5303514450396108,-0.41336629946768966,-0.06170868976595203,-0.8798567869903794,-0.19545249563140565,1.8279386131512927,-0.8256040942513441,-0.4822952236853845,0.12119899481362253,68626.0
10027,0.9432697055858477,-0.5596579564983944,-0.30108620293893745,0.04511315456869627,-0.32178165376447765,-0.15068325892683243,0.959548436962927,-0.5751299990299016,-0.4317432905511872,0.1072211420035268,117278.0
10028,-0.2124308515576985,-0.7271513746642994,-0.3190632714056144,-0.40224202589140556,-0.98179023670972,-0.08063942586503403,0.8031185006639981,-0.3783240775918087,-0.4599010355401351,0.4038818718223412,95060.0
10029,0.46296340793477203,-0.81372985556253,-0.14835793799520197,0.07380916441821025,-0.4550066544044859,-0.15192665343331543,1.0332828843207333,-0.5645333936231735,-0.4783935139540888,0.2093379566154565,155006.0
10030,0.9576663098277027,-0.5588702241690282,-0.4023998447091417,0.5188398743035618,-0.9650182960335529,-0.23320319215653373,1.1676973766570773,-0.5366906184610942,-0.47892187048020174,-0.024009992525382162,53440.0
10031,0.3897039386563051,-0.6322515757581402,-0.22944184031695627,-0.16855729039310946,-0.5474210807092627,-0.18125320864277494,0.6090251673241455,-0.7960716214287509,-0.4798566551033247,0.06548195214402505,114020.0
10032,0.4196598579377504,-0.7208702798390563,-0.12363228198480339,-0.2046108584712211,-0.523196474812721,-0.18773883590569723,-0.23422072563028629,-0.8265970605552696,-0.4729473774541551,0.15602564475975764,115212.0
