CAMIS,DBA,ZIPCODE,Latitude,Longitude
40367534,MR BROADWAY KOSHER RESTAURANT,10018.0,40.752262863231,-73.98745407546
40367728,MIMIS RESTAURANT & BAR,10022.0,40.756216898717,-73.967528807602
40367749,LENNY'S CLAM BAR,11414.0,40.655550935611,-73.83896749314
40367752,GRIFFIS FACULTY CLUB,10065.0,40.764156112386,-73.955283592822
40367789,DANI PIZZA AND RESTAURANT,11415.0,40.708866954929,-73.830434010524
40367790,MCDONALD'S,11226.0,40.648723192538,-73.958298253196
40367841,CAFE FIORELLO,10023.0,40.771511149198,-73.982150446461
40367860,L&B SPUMONI GARDENS,11223.0,40.594393518287,-73.981359004171
40367870,AMORE PIZZERIA & RESTAURANT,11354.0,40.769658810731,-73.834693968308
40368018,THE PATIO,10460.0,40.850555961413,-73.882451432726
40368021,ZOO BREWS-BRONX ZOO,10460.0,40.850555961413,-73.882451432726
40368022,GRIZZLY GROUNDS,10460.0,40.850555961413,-73.882451432726
40368025,THE PECKING ORDER,10460.0,40.850555961413,-73.882451432726
40368026,SOMBA VILLAGE (BABOON CAFE),10460.0,40.850555961413,-73.882451432726
40368034,ROADHOUSE RESTAURANT,10301.0,40.613366849845,-74.100456725438
40368157,ELEPHANT & CASTLE,10011.0,40.736313732048,-74.000941800769
40368207,MILL BASIN KOSHER DELI,11234.0,40.615314177459,-73.918410519092
40368223,OYSTER BAR,10017.0,40.752513822619,-73.977304639681
40368271,CHERRY TAVERN,10009.0,40.72599520843,-73.985196904415
40368291,COLONNADE DINER,10306.0,40.581163905657,-74.098543291202
40368313,RED FLAME DINER,10036.0,40.755627203336,-73.981938150269
40368318,MAGGIES PLACE,10017.0,40.75615887998,-73.977386411729
40368338,BRADY'S BAR,10028.0,40.775433620871,-73.953532090009
40368374,JIMMY'S CORNER,10036.0,40.756612923674,-73.984331004337
40368526,FROST RESTAURANT,11211.0,40.718203594249,-73.943536223219
40368555,IL CORTILE RESTAURANT,10013.0,40.717890850638,-73.99810609883
40368577,DENNY'S PUB,11218.0,40.642931856285,-73.978869881609
40368581,MARIES CRISIS CAFE,10014.0,40.733135251667,-74.003287124204
40368632,NEW PARKWAY RESTAURANT,11228.0,40.620195775133,-74.00754646331
40368725,CAFE RIAZOR,10011.0,40.740439115543,-74.000025260594
40368752,RAOULS,10012.0,40.726320028034,-74.002034849311
40368763,THE BROOK,10022.0,40.759426587413,-73.971541211282
40368801,MARBELLA RESTAURANT,11361.0,40.761601625705,-73.760759718274
40368809,P.J.' S,11366.0,40.729537226386,-73.779969217943
40368824,DOUBLES CLUB,10022.0,40.764532145131,-73.972809729679
40368897,HATSUHANA RESTAURANT,10017.0,40.756891688533,-73.977173198465
40369012,VALENTINO'S PIZZA,11367.0,40.728528733563,-73.815074973898
40369016,VIAND COFFEE SHOP,10065.0,40.764789486445,-73.970131018321
40369087,BLUE BAY RESTAURANT,10463.0,40.886028908603,-73.909870952705
40369158,JODY'S CLUB,10301.0,40.63100906274,-74.101895649669
40369165,REIF'S TAVERN,10128.0,40.781511138984,-73.948577300186
40369213,WHITESTONE LANES,11354.0,40.770708647549,-73.833720179111
40369262,JOHN'S PIZZERIA,11373.0,40.734921850516,-73.882013926505
40369299,SEASHORE RESTAURANT,10464.0,40.854116926666,-73.790573593575
40369418,CAFFE REGGIO,10012.0,40.730206634013,-74.000317512808
40369461,CAFE UN DEUX TROIS,10036.0,40.756483871142,-73.98397730097
40369482,ARMANDO'S PIZZA,11239.0,40.647983742716,-73.881926814947
40369521,KNICKERBOCKER BAR & GRILL,10003.0,40.731968639466,-73.994450594757
40369608,THE RIVER CAFE,11201.0,40.702959180239,-73.99433760709
40369619,MUDVILLE9,10007.0,40.715299468091,-74.008790965756
40369641,JOHNNY'S REEF RESTAURANT,10464.0,40.837664418816,-73.782898935512
40369667,WHITE CASTLE,11213.0,40.66349139936,-73.932264652274
40369669,WHITE CASTLE,10467.0,40.865624074297,-73.862253934582
40369675,WHITE CASTLE,11104.0,40.743450594604,-73.921327711204
40369716,FERDINANDO'S RESTAURANT,11231.0,40.684124670454,-74.002062401532
40369782,MCDONALD'S,11203.0,40.656181203396,-73.930844886732
40369849,GINO'S PIZZERIA,11364.0,40.748785698854,-73.756561590589
40369878,VILLA MOSCONI RESTAURANT,10012.0,40.72853780392,-74.001731844504
40369958,SPARKS STEAK HOUSE,10017.0,40.753097308196,-73.972096155466
40369983,THE DART SPORTS BAR,11432.0,40.715270326351,-73.807698905887
40370015,BAMONTE'S RESTAURANT,11211.0,40.716711333171,-73.951484522583
40370150,JOHN MULLIGAN'S FIRESIDE PUB,10470.0,40.89778438017,-73.867218605002
40370167,BURGER KING,11361.0,40.761859115241,-73.7591993411
40370168,EAR INN,10013.0,40.725993041785,-74.009301091655
40370238,BURGER KING,11377.0,40.754251920542,-73.89781764958
40370436,ROSSINI'S,10016.0,40.749349425399,-73.978940662754
40370463,THREE GUY'S RESTAURANT,10021.0,40.773974376779,-73.963841035522
40370507,THE PLAYERS,10003.0,40.737775898673,-73.986482515651
40370766,SMITH & WOLLENSKY,10017.0,40.755051274002,-73.970875339288
40370781,MCDONALD'S,11357.0,40.7806191184,-73.802039011533
40370856,OLIVE TREE CAFE & COMEDY CELLAR,10012.0,40.730129780372,-74.000386066263
40370939,MANDUCATIS,11101.0,40.744468029044,-73.948905538843
40371454,WEST BANK CAFE,10036.0,40.758609222912,-73.993051434231
40371614,LA BARAKA RESTAURANT,11362.0,40.7720339863,-73.734326533439
40371684,LIBERMAN'S LUNCHEONETTE,11204.0,40.631503551354,-73.985008985692
40371718,ZAFI'S LUNCHEONETTE,10002.0,40.714738553101,-73.982605794428
40371727,LA PALINA RESTAURANT,11204.0,40.610776716763,-73.978869293745
40371805,TY'S,10014.0,40.733192808056,-74.005477342338
40371906,MARINER INN,11234.0,40.609339406683,-73.9319776615
40371988,NORTH SHORE DINER,11358.0,40.757847279125,-73.784564229619
40372112,GREEN HOUSE CAFE,11209.0,40.629821191692,-74.028450143173
40372196,MCDONALD'S,10465.0,40.827578059403,-73.823272077449
40372262,LA RIPAILLE RESTAURANT,10014.0,40.73735385778,-74.005741105387
40372357,MARINA CAFE,10308.0,40.544300925933,-74.140905861928
40372417,DON FILIPPO RESTAURANT,10075.0,40.774642508226,-73.959107283102
40372422,BURGER KING,11374.0,40.731773141489,-73.86656564973
40372426,DAZIES RESTAURANT,11104.0,40.743883909288,-73.924889127627
40372445,OMONIA CAFE,11106.0,40.761477481586,-73.924360228878
40372466,"MURALS ON 54, RANDOLPH'S",10019.0,40.761865222515,-73.977330319535
40372485,VETERANS OF FOREIGN WARS POST #107 CANTEEN,11229.0,40.598101670847,-73.931013300703
40372596,TROPICAL HOUSE BAKING CO.,11213.0,40.669434759348,-73.933830286475
40372618,BURGER KING,11434.0,40.667935318774,-73.780984279643
